County,2018_Population,2010_Square_Miles
ALAMANCE,166436,423.94
ALEXANDER,37353,259.99
ALLEGHANY,11161,235.06
ANSON,24877,531.45
ASHE,27109,426.14
AVERY,17505,247.09
BEAUFORT,47079,827.19
BERTIE,19026,699.27
BLADEN,33190,874.33
BRUNSWICK,136744,846.97
BUNCOMBE,259103,656.67
BURKE,90382,507.10
CABARRUS,211342,361.75
CALDWELL,82029,471.57
CAMDEN,10710,240.56
CARTERET,69524,506.25
CASWELL,22698,424.92
CATAWBA,158652,398.72
CHATHAM,73139,682.19
CHEROKEE,28383,455.43
CHOWAN,14029,172.47
CLAY,11139,214.75
CLEVELAND,97645,464.25
COLUMBUS,55655,937.29
CRAVEN,102912,708.96
CUMBERLAND,332330,652.32
CURRITUCK,27072,261.85
DARE,36501,383.42
DAVIDSON,166614,552.68
DAVIE,42733,264.11
DUPLIN,58856,816.22
DURHAM,316739,285.98
EDGECOMBE,52005,505.34
FORSYTH,379099,408.15
FRANKLIN,67560,491.68
GASTON,222846,356.03
GATES,11573,340.45
GRAHAM,8484,292.08
GRANVILLE,60115,531.57
GREENE,21012,265.93
GUILFORD,533670,645.70
HALIFAX,50574,724.09
HARNETT,134214,594.99
HAYWOOD,61971,553.69
HENDERSON,116748,373.07
HERTFORD,23659,353.06
HOKE,54764,390.74
HYDE,5230,612.70
IREDELL,178435,573.83
JACKSON,43327,490.76
JOHNSTON,202675,791.30
JONES,9637,470.71
LEE,61452,254.96
LENOIR,55976,400.59
LINCOLN,83770,297.94
MCDOWELL,45507,515.56
MACON,35285,449.57
MADISON,21763,461.22
MARTIN,22671,440.61
MECKLENBURG,1093901,523.84
MITCHELL,15000,221.43
MONTGOMERY,27271,491.76
MOORE,98682,697.84
NASH,94016,540.41
NEW HANOVER,232274,191.53
NORTHAMPTON,19676,536.59
ONSLOW,197683,762.74
ORANGE,146027,397.96
PAMLICO,12670,336.54
PASQUOTANK,39639,226.88
PENDER,62162,869.80
PERQUIMANS,13422,247.09
PERSON,39507,392.32
PITT,179914,651.98
POLK,20611,237.79
RANDOLPH,143351,782.52
RICHMOND,44887,473.82
ROBESON,131831,949.22
ROCKINGHAM,90690,565.55
ROWAN,141262,511.37
RUTHERFORD,66826,564.15
SAMPSON,63626,944.74
SCOTLAND,34810,318.85
STANLY,62075,395.09
STOKES,45467,448.86
SURRY,71948,532.17
SWAIN,14245,528.00
TRANSYLVANIA,34215,378.53
TYRRELL,4131,389.04
UNION,235908,631.52
VANCE,44582,253.52
WAKE,1092305,835.22
WARREN,19807,428.46
WASHINGTON,11859,348.14
WATAUGA,55945,312.56
WAYNE,123248,553.09
WILKES,68557,754.28
WILSON,81455,368.17
YADKIN,37543,334.83
YANCEY,17903,312.60